Na(cm-3),t_ox(nm),V_G1,log(I_D1),V_G2,log(I_D2),SS(mV/dec)
15,1,-0.0435467,6.13E-15,0.34545,9.08E-09,63.03962825
15,2,-0.0407895,6.24E-15,0.319737,3.13E-09,63.24767765
15,5,-0.0355263,5.92E-15,0.317105,1.87E-09,64.11451236
15,10,-0.0302632,4.87E-15,0.325,1.25E-09,65.65624081
15,20,0.054446,3.32E-14,0.330951,4.12E-10,67.53824267
15,50,0.138714,3.83E-14,0.431019,2.84E-10,75.52648376
16,1,-0.0515398,6.75E-16,0.377422,4.55E-09,62.81976378
16,2,-0.0407895,7.25E-16,0.364474,1.71E-09,63.60374724
16,5,-0.0197368,6.34E-16,0.343421,1.94E-10,66.19476016
16,10,0.0302632,7.78E-16,0.430263,4.06E-10,69.96304756
16,20,0.128181,1.03E-15,0.602189,1.36E-09,77.46147598
16,50,0.423119,1.93E-15,0.905027,1.13E-10,101.0935391
17,1,-0.0462111,7.16E-17,0.414723,1.35E-09,63.36388969
17,2,-0.0381579,3.49E-17,0.485526,2.87E-09,66.16802597
17,5,0.151316,8.18E-16,0.538158,1.86E-10,72.21238342
17,10,0.256579,1.82E-16,0.793421,4.13E-10,84.45854169
17,20,0.619737,4.68E-16,1.18816,8.44E-11,108.145347
17,50,1.53665,3.02E-16,2.51673,7.79E-11,181.1077381
18,1,-0.0407895,4.58E-18,0.514474,7.83E-10,67.44249254
18,2,0.175,1.28E-16,0.664474,5.78E-10,73.57128878
18,5,0.432895,4.96E-17,0.996053,4.26E-11,94.89759262
18,10,0.928759,5.46E-17,1.77237,1.28E-10,132.4207869
18,20,2.03477,1.53E-16,3.12876,4.00E-11,201.9338591
18,50,4.96711,6.06E-17,7.54079,7.23E-11,423.5428816
19,1,0.253947,2.37E-17,0.832895,4.16E-10,79.90424367
19,2,0.606579,3.00E-17,1.26711,9.05E-11,101.9301519
19,5,1.65244,6.92E-17,2.63665,1.01E-10,159.6389645
19,10,3.37124,6.87E-17,4.7359,1.12E-11,261.9110722
19,20,6.47462,1.79E-17,9.5265,6.03E-11,467.5516397
19,50,16.2329,1.29E-17,23.1148,3.12E-11,1078.17747
